settlement_id,canonical_name,aliases_in_book,settlement_type,latitude,longitude,coordinate_note,coordinate_precision,coordinate_source_url,wikidata_id,wikidata_url,wikipedia_url,wikidata_description,entity_resolution_score,occupation_start_year,occupation_end_year,occupation_interval_display,occupation_qualifier,occupation_basis,curation_note,mention_paragraph_count,sections_mentioned,first_source_line,last_source_line
S017,Lascaux,Lascaux,cave activity site,45.053766,1.170959,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q172125,Q172125,http://www.wikidata.org/entity/Q172125,https://en.wikipedia.org/wiki/Lascaux,cave in southwestern France famous for its Paleolithic cave paintings,17.13,-17000,-15000,17000 BCE to 15000 BCE,c.,reference synthesis,,1,Chapter 3: Unfreezing the Ice Age,995,995
S018,Saint-Germain-de-la-Rivière,Saint-Germain-de-la-Rivière,burial and habitation locality,44.949951,-0.331018,Palaeolithic burial location,site centroid,https://vici.org/vici/22744/,,,,,,-14000,-14000,14000 BCE,c.,book plus reference synthesis,Single-period burial locality.,1,Chapter 3: Unfreezing the Ice Age,1021,1021
S019,Yudinovo,Yudinovo,open-air settlement,52.670833333,33.283333333,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q4533834,Q4533834,http://www.wikidata.org/entity/Q4533834,,"human settlement in Pogarsky District, Bryansk Oblast, Russia",9.32,-15000,-12000,15000 BCE to 12000 BCE,c.,reference synthesis,,1,Chapter 3: Unfreezing the Ice Age,1045,1045
S020,Mezhirich,Mezhirich|Mezhyrich,open-air settlement,49.615,31.434166666,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q959420,Q959420,http://www.wikidata.org/entity/Q959420,"https://en.wikipedia.org/wiki/Mezhyrich,_Cherkasy_Oblast","village in Kaniv Raion, Cherkasy Oblast, Ukraine",10.81,-15000,-12000,15000 BCE to 12000 BCE,c.,reference synthesis,,2,Chapter 3: Unfreezing the Ice Age | Notes to Chapter 3: Unfreezing the Ice Age,1045,4778
S021,Kostenki,Kostenki,open-air settlement complex,51.385666666,39.051694444,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q7723928,Q7723928,http://www.wikidata.org/entity/Q7723928,,archeologic National Park in Russia,8.58,-40000,-20000,40000 BCE to 20000 BCE,c.,reference synthesis,Multiple occupations across the complex.,1,Chapter 3: Unfreezing the Ice Age,1045,1045
S022,Stonehenge,Stonehenge,seasonal aggregation site,51.178888888,-1.826111111,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q39671,Q39671,http://www.wikidata.org/entity/Q39671,https://en.wikipedia.org/wiki/Stonehenge,"Neolithic henge monument in Amesbury, Wiltshire, England, UK",18.0,-3000,-1600,3000 BCE to 1600 BCE,c.,reference synthesis,Included because the book treats it as a recurring human aggregation place rather than a town.,12,"Chapter 10: Why the State Has No Origin | Chapter 12: Conclusion | Chapter 3: Unfreezing the Ice Age | Chapter 4: Free People, the Origin of Cultures, and the Advent of Private Property | Notes to Chapter 3: Unfreezing the Ice Age",1142,4782
S023,Durrington Walls,Durrington Walls,seasonal town,51.1925,-1.7875,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q471738,Q471738,http://www.wikidata.org/entity/Q471738,https://en.wikipedia.org/wiki/Durrington_Walls,"the site of a large Neolithic settlement, village; also it enclosed several hedges;",11.0,-2600,-2400,2600 BCE to 2400 BCE,c.,book plus reference synthesis,,3,Chapter 3: Unfreezing the Ice Age | Notes to Chapter 3: Unfreezing the Ice Age,1144,4784
S024,Göbekli Tepe,Göbekli Tepe,seasonal aggregation and monument complex,37.223055555,38.9225,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q214944,Q214944,http://www.wikidata.org/entity/Q214944,https://en.wikipedia.org/wiki/G%C3%B6bekli_Tepe,neolithic archaeological site in Turkey,29.3,-9500,-8000,9500 BCE to 8000 BCE,c.,book plus reference synthesis,,23,"Chapter 3: Unfreezing the Ice Age | Chapter 4: Free People, the Origin of Cultures, and the Advent of Private Property | Chapter 6: Gardens of Adonis | Chapter 7: The Ecology of Freedom | Notes to Chapter 3: Unfreezing the Ice Age | Notes to Chapter 6: Gardens of Adonis",1025,5204
S025,Poverty Point,Poverty Point,seasonal aggregation settlement,32.6367,-91.4114,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q964745,Q964745,http://www.wikidata.org/entity/Q964745,https://en.wikipedia.org/wiki/Poverty_Point,"prehistoric site of the Poverty Point culture in northeastern Louisiana, United States",23.75,-1700,-1100,1700 BCE to 1100 BCE,c.,book plus reference synthesis,,23,"Chapter 11: Full Circle | Chapter 4: Free People, the Origin of Cultures, and the Advent of Private Property | Chapter 5: Many Seasons Ago | Notes to Chapter 11: Full Circle | Notes to Chapter 4: Free People, the Origin of Cultures, and the Advent of Private Property",1442,6062
S026,Sannai Maruyama,Sannai Maruyama,settlement,40.811467,140.696872,archaeological site centroid,site centroid,https://en.wikipedia.org/wiki/Sannai-Maruyama_Site,,,,,,-3900,-2300,3900 BCE to 2300 BCE,book dates,book paragraph L4880,,5,"Chapter 12: Conclusion | Chapter 4: Free People, the Origin of Cultures, and the Advent of Private Property | Notes to Chapter 4: Free People, the Origin of Cultures, and the Advent of Private Property",1482,4880
S027,Watson Brake,Watson’s Brake|Watson's Brake,aggregation and mound site,32.368888888,-92.144722222,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q2552689,Q2552689,http://www.wikidata.org/entity/Q2552689,https://en.wikipedia.org/wiki/Watson_Brake,"archaeological site in Ouachita Parish, Louisiana, United States",22.46,-3500,-2800,3500 BCE to 2800 BCE,c.,reference synthesis,,1,"Chapter 4: Free People, the Origin of Cultures, and the Advent of Private Property",1474,1474
S028,Çatalhöyük,Çatalhöyük,large settlement,37.6675,32.828333333,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q192522,Q192522,http://www.wikidata.org/entity/Q192522,https://en.wikipedia.org/wiki/%C3%87atalh%C3%B6y%C3%BCk,"archaeological site in Konya Province, Turkey",25.15,-7400,-5900,7400 BCE to 5900 BCE,book dates,book paragraph L2060,,27,Chapter 10: Why the State Has No Origin | Chapter 12: Conclusion | Chapter 6: Gardens of Adonis | Notes to Chapter 6: Gardens of Adonis | Notes to Chapter 8: Imaginary Cities,2055,5386
S029,Nevalı Çori,Nevalı Çori,settlement and monument site,37.518333333,38.605555555,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q1151606,Q1151606,http://www.wikidata.org/entity/Q1151606,https://en.wikipedia.org/wiki/Neval%C4%B1_%C3%87ori,Early Neolithic settlement and archaeological site,15.64,-8500,-8000,8500 BCE to 8000 BCE,c.,reference synthesis,,1,Chapter 6: Gardens of Adonis,2288,2288
S030,Jerf el-Ahmar,Jerf el-Ahmar,settlement,36.38333333,38.18055556,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q928706,Q928706,http://www.wikidata.org/entity/Q928706,https://en.wikipedia.org/wiki/Jerf_el_Ahmar,archaeological site in Syria,10.58,-9500,-8700,9500 BCE to 8700 BCE,c.,reference synthesis,,3,Chapter 6: Gardens of Adonis,2168,2288
S031,Jericho,Jericho,ancient and modern city,31.856111111,35.463055555,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q5687,Q5687,http://www.wikidata.org/entity/Q5687,https://en.wikipedia.org/wiki/Jericho,"city in West Bank, Palestine",22.64,-9000,2026,9000 BCE to present,c.–present,reference synthesis,Long episodic occupation.,3,Chapter 6: Gardens of Adonis,2160,2320
S032,Karahan Tepe,Karahan Tepe,aggregation and monument site,37.0916,39.3027,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q5996986,Q5996986,http://www.wikidata.org/entity/Q5996986,https://en.wikipedia.org/wiki/Karahan_Tepe,archeological site in Turkey,11.46,-9500,-8000,9500 BCE to 8000 BCE,c.,reference synthesis,,1,Chapter 6: Gardens of Adonis,2158,2158
S033,Körtik Tepe,Körtik Tepe,settlement,37.813993453,40.989503503,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q959497,Q959497,http://www.wikidata.org/entity/Q959497,,"archaeological site in Batman Province, Turkey",21.81,-10400,-9250,10400 BCE to 9250 BCE,c.,reference synthesis,,1,Notes to Chapter 6: Gardens of Adonis,5204,5204
S034,Çayönü Tepesi,Çayönü Tepesi|Çayönü,settlement,38.216,39.725,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q272720,Q272720,http://www.wikidata.org/entity/Q272720,https://en.wikipedia.org/wiki/%C3%87ay%C3%B6n%C3%BC,"archaeological site in Ergani, Diyarbakır, Turkey",12.0,-8630,-6800,8630 BCE to 6800 BCE,c.,reference synthesis,,5,Chapter 6: Gardens of Adonis | Chapter 7: The Ecology of Freedom | Notes to Chapter 6: Gardens of Adonis,2290,5208
S035,Tell Brak,Tell Brak,ancient city,36.6667,41.0583,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q978443,Q978443,http://www.wikidata.org/entity/Q978443,https://en.wikipedia.org/wiki/Tell_Brak,Archaeological site in Syria,24.0,-6500,-1300,6500 BCE to 1300 BCE,c.,reference synthesis,,1,Notes to Chapter 8: Imaginary Cities,5418,5418
S036,Tell Sabi Abyad,Tell Sabi Abyad,village,36.504,39.093,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q1147286,Q1147286,http://www.wikidata.org/entity/Q1147286,https://en.wikipedia.org/wiki/Tell_Sabi_Abyad,"archaeological site in ar-Raqqah, Syria",22.58,-7500,-5500,7500 BCE to 5500 BCE,c.,book plus reference synthesis,Book foregrounds the village destroyed around 6200 BCE.,6,Chapter 10: Why the State Has No Origin | Notes to Chapter 10: Why the State Has No Origin,3727,5938
S037,Kilianstädten,Kilianstädten,village,50.2014,8.85361,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q1741299,Q1741299,http://www.wikidata.org/entity/Q1741299,,human settlement,8.58,-5200,-5000,5200 BCE to 5000 BCE,c.,reference synthesis,,2,Chapter 7: The Ecology of Freedom,2437,2439
S038,Talheim,Talheim,village,48.4921,8.67198,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q2390251,Q2390251,http://www.wikidata.org/entity/Q2390251,,"quarter of Horb am Neckar, Baden-Württemberg, Germany",9.32,-5500,-4900,5500 BCE to 4900 BCE,c.,reference synthesis,,1,Chapter 7: The Ecology of Freedom,2437,2437
S039,Asparn-Schletz,Asparn|Schletz|Asparn-Schletz,village,48.318889,16.009444,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q110639024,Q110639024,http://www.wikidata.org/entity/Q110639024,,locality in Tulln District,8.58,-5200,-4900,5200 BCE to 4900 BCE,c.,reference synthesis,Combines the two forms used for the same archaeological locality.,2,Chapter 7: The Ecology of Freedom,2437,2439
S040,Herxheim,Herxheim,village,49.1453309,8.1906469,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q5745145,Q5745145,http://www.wikidata.org/entity/Q5745145,https://en.wikipedia.org/wiki/Herxheim_(archaeological_site),located in the town,22.0,-5300,-4950,5300 BCE to 4950 BCE,c.,reference synthesis,,1,Chapter 7: The Ecology of Freedom,2437,2437
S041,Lapita type-site,Lapita,village,-21.102778,164.798889,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q38514872,Q38514872,http://www.wikidata.org/entity/Q38514872,,"archaeological site in Koné, France",16.0,-1100,-800,1100 BCE to 800 BCE,c.,reference synthesis,The book names the culture after its type-site.,8,Chapter 7: The Ecology of Freedom | Notes to Chapter 7: The Ecology of Freedom,2482,5296
S042,Caral,Caral,ancient city,-10.8900437,-77.5014242,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q125448362,Q125448362,http://www.wikidata.org/entity/Q125448362,,populated place in Supe District in Peru,8.0,-3000,-1800,3000 BCE to 1800 BCE,c.,reference synthesis,,1,Chapter 8: Imaginary Cities,2693,2693
S043,Liangchengzhen,Liangchengzhen,walled settlement,35.571,119.572,archaeological sampling/site location,site centroid,https://academic.oup.com/gji/article-abstract/232/2/1159/6747130,,,,,,-2600,-2000,2600 BCE to 2000 BCE,c.,book plus reference synthesis,,1,Chapter 8: Imaginary Cities,2693,2693
S044,Yaowangcheng,Yaowangcheng,walled settlement,35.302171,119.350127,archaeological park/site location,site centroid,https://www.amap.com/place/B0KGTHETEK,,,,,,-2600,-2000,2600 BCE to 2000 BCE,c.,book plus reference synthesis,,1,Chapter 8: Imaginary Cities,2693,2693
S045,Taljanky,Taljanky|Talianki,mega-settlement,48.805,30.535,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q7679481,Q7679481,http://www.wikidata.org/entity/Q7679481,https://en.wikipedia.org/wiki/Talianki_(archaeological_site),Archaeological site in Ukraine,10.0,-3700,-3400,3700 BCE to 3400 BCE,c.,reference synthesis,,5,Chapter 8: Imaginary Cities | Notes to Chapter 8: Imaginary Cities,2704,5400
S046,Maidenetske,Maidenetske|Maidanetske,mega-settlement,48.81,30.700277777,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q5265879,Q5265879,http://www.wikidata.org/entity/Q5265879,https://en.wikipedia.org/wiki/Maidanetske,"village in Talne Raion, Cherkasy Oblast, Ukraine",11.17,-3700,-3400,3700 BCE to 3400 BCE,c.,reference synthesis,,3,Chapter 8: Imaginary Cities | Notes to Chapter 8: Imaginary Cities,2704,5400
S047,Nebelivka,Nebelivka,mega-settlement,48.635277777,30.581388888,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q4315483,Q4315483,http://www.wikidata.org/entity/Q4315483,https://en.wikipedia.org/wiki/Nebelivka,"village in Novoarkhanhelsk Raion, Kirovohrad Oblast, Ukraine",10.58,-3970,-3770,3970 BCE to 3770 BCE,c.,reference synthesis,,5,Chapter 8: Imaginary Cities | Front matter: maps and figures | Notes to Chapter 8: Imaginary Cities,151,5400
S048,Uruk,Uruk|Warka|Erech,ancient city,31.3259,45.6374,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q168518,Q168518,http://www.wikidata.org/entity/Q168518,https://en.wikipedia.org/wiki/Uruk,ancient city of Sumer and Babylonia,13.25,-5000,300,5000 BCE to 300 CE,c.,reference synthesis,Warka and biblical Erech are treated as aliases of Uruk.,38,"Chapter 10: Why the State Has No Origin | Chapter 12: Conclusion | Chapter 4: Free People, the Origin of Cultures, and the Advent of Private Property | Chapter 8: Imaginary Cities | Chapter 9: Hiding in Plain Sight | Notes to Chapter 8: Imaginary Cities",1444,5482
S049,Harappa,Harappa,ancient city,30.633333333,72.866666666,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q185562,Q185562,http://www.wikidata.org/entity/Q185562,https://en.wikipedia.org/wiki/Harappa,"archaeological site in Punjab, Pakistan",25.29,-3300,-1300,3300 BCE to 1300 BCE,c.,reference synthesis,,7,"Chapter 4: Free People, the Origin of Cultures, and the Advent of Private Property | Chapter 8: Imaginary Cities | Notes to Chapter 8: Imaginary Cities",1444,5362
S050,Mohenjo-daro,Mohenjo-daro,ancient city,27.329166666,68.138888888,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q5725,Q5725,http://www.wikidata.org/entity/Q5725,https://en.wikipedia.org/wiki/Mohenjo-daro,"archaeological site in the province of Sindh, Pakistan",25.63,-2600,-1900,2600 BCE to 1900 BCE,c.,reference synthesis,,19,Chapter 10: Why the State Has No Origin | Chapter 12: Conclusion | Chapter 8: Imaginary Cities | Chapter 9: Hiding in Plain Sight | Notes to Chapter 10: Why the State Has No Origin,2706,5992
S051,Lothal,Lothal,ancient city,22.521388888,72.249444444,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q9443,Q9443,http://www.wikidata.org/entity/Q9443,https://en.wikipedia.org/wiki/Lothal,"prominent city of the ancient Indus valley civilization (present-day Gujarat, India)",28.64,-2400,-1900,2400 BCE to 1900 BCE,c.,reference synthesis,,1,Chapter 8: Imaginary Cities,2909,2909
S052,Shortugai,Shortugai,trading settlement,37.325,69.525,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q1550221,Q1550221,http://www.wikidata.org/entity/Q1550221,https://en.wikipedia.org/wiki/Shortugai,"archaeological site in Takhar, Afghanistan",23.0,-2000,-1500,2000 BCE to 1500 BCE,c.,reference synthesis,,1,Chapter 8: Imaginary Cities,2909,2909
S053,Nineveh,Nineveh,ancient city,36.366667,43.15,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q5680,Q5680,http://www.wikidata.org/entity/Q5680,https://en.wikipedia.org/wiki/Nineveh,"ancient Assyrian city, capital of the Neo-Assyrian Empire",17.44,-6000,-612,6000 BCE to 612 BCE,c.,reference synthesis,,2,Chapter 8: Imaginary Cities,2765,2821
S054,Nimrud,Nimrud,ancient city,36.098055555,43.328888888,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q237614,Q237614,http://www.wikidata.org/entity/Q237614,https://en.wikipedia.org/wiki/Nimrud,ancient Assyrian city,16.93,-1350,-610,1350 BCE to 610 BCE,c.,reference synthesis,,1,Chapter 8: Imaginary Cities,2765,2765
S055,Babylon,Babylon,ancient city,32.522907,44.42415,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q5684,Q5684,http://www.wikidata.org/entity/Q5684,https://en.wikipedia.org/wiki/Babylon,capital city of Babylonia and an archaeological site in modern-day Iraq,14.0,-2300,1000,2300 BCE to 1000 CE,c.,reference synthesis,Long episodic occupation.,5,Chapter 10: Why the State Has No Origin | Chapter 8: Imaginary Cities,2648,3259
S056,Susa,Susa,ancient city,32.189444444,48.256111111,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q180773,Q180773,http://www.wikidata.org/entity/Q180773,https://en.wikipedia.org/wiki/Susa,"ancient city in Iran, World Heritage site in Iran",13.32,-4200,1218,4200 BCE to 1218 CE,c.,reference synthesis,,1,Chapter 8: Imaginary Cities,2765,2765
S057,Ur,Ur,ancient city,30.962222,46.104444,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q5699,Q5699,http://www.wikidata.org/entity/Q5699,https://en.wikipedia.org/wiki/Ur,ancient Mesopotamian city-state,13.44,-3800,-500,3800 BCE to 500 BCE,c.,reference synthesis,,9,Chapter 10: Why the State Has No Origin | Chapter 7: The Ecology of Freedom | Chapter 8: Imaginary Cities | Notes to Chapter 8: Imaginary Cities,2515,5466
S058,Lagash,Lagash,ancient city,31.411389,46.407222,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q207330,Q207330,http://www.wikidata.org/entity/Q207330,https://en.wikipedia.org/wiki/Lagash,ancient Mesopotamian city-state,12.95,-4000,-1500,4000 BCE to 1500 BCE,c.,reference synthesis,,3,Chapter 8: Imaginary Cities | Notes to Chapter 8: Imaginary Cities,2785,5434
S059,Girsu,Girsu,ancient city,31.56526,46.18964,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q853946,Q853946,http://www.wikidata.org/entity/Q853946,https://en.wikipedia.org/wiki/Girsu,ancient Sumerian city,16.17,-5000,-2000,5000 BCE to 2000 BCE,c.,reference synthesis,,1,Notes to Chapter 8: Imaginary Cities,5434,5434
S060,Nippur,Nippur,ancient city,32.126111111,45.230833333,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q188395,Q188395,http://www.wikidata.org/entity/Q188395,https://en.wikipedia.org/wiki/Nippur,ancient city in modern day Iraq,13.13,-5000,800,5000 BCE to 800 CE,c.,reference synthesis,,2,Chapter 8: Imaginary Cities,2821,2823
S061,Eridu,Eridu,ancient city,30.81583,45.99583,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q210065,Q210065,http://www.wikidata.org/entity/Q210065,https://en.wikipedia.org/wiki/Eridu,archaeological site in Iraq,12.78,-5400,-600,5400 BCE to 600 BCE,c.,reference synthesis,,1,Chapter 8: Imaginary Cities,2811,2811
