canonical_name,aliases,selection_hint,settlement_type,occupation_start_year,occupation_end_year,occupation_qualifier,occupation_basis,curation_note
Spiro Mounds,Spiro,Spiro Mounds archaeological site Oklahoma,settlement and ceremonial centre,850,1450,c.,reference synthesis,
Etowah Indian Mounds,Etowah,Etowah Indian Mounds archaeological site Georgia,settlement and capital,1000,1550,c.,reference synthesis,
Moundville,Moundville,Moundville archaeological site Alabama,settlement and capital,1000,1450,c.,reference synthesis,
Coosa,Coosa,Coosa chiefdom capital Georgia,capital settlement,1300,1600,c.,reference synthesis,Exact capital location is debated; coordinates are approximate if unresolved.
Cofitachequi,Cofitachequi,Cofitachequi chiefdom South Carolina,capital settlement,1200,1600,c.,reference synthesis,Exact capital location is debated; coordinates are approximate if unresolved.
Basta,Basta,Pre-Pottery Neolithic archaeological site Jordan,large Neolithic settlement,-7500,-6500,c.,reference synthesis,
Byblos,Byblos|Jbeil,ancient port city Lebanon,ancient and modern port city,-8800,2026,c.–present,reference synthesis,Long episodic occupation; Jbeil is the modern name used parenthetically in the notes.
Mezin,Mezin,Upper Palaeolithic mammoth-bone settlement Ukraine,Upper Palaeolithic aggregation settlement,-18000,-13000,c.,reference synthesis,Note-only settlement paired with Mezhirich.
Tågerup,Tågerup|Tagerup,Mesolithic settlement western Scania Sweden,Mesolithic coastal settlement,-7000,-5500,c.,reference synthesis,Note-only settlement; long-lived Mesolithic occupation.
Onondaga town,Onondaga town,traditional Onondaga settlement New York,historical settlement,,,unknown,book evidence,Traditional narrative names a town but does not provide a recoverable location or occupation interval.
Merv,Merv,ancient city Turkmenistan,ancient city,-3000,1800,c.,reference synthesis,
Fort Michilimackinac,Michilimackinac|Fort Michilimackinac,French fort and trading settlement Michigan,fortified trading settlement,1715,1781,c.,reference synthesis,The text calls it a French fort in a place named Michilimackinac.
Mound Key (Calos),Calos|Mound Key,Calusa capital Mound Key Florida,shell-mound capital,500,1700,c.,reference synthesis,The text names Calos and identifies the surviving archaeological complex as Mound Key.
Arslantepe,Arslantepe,archaeological mound Malatya Turkey,regional centre,-6000,700,c.,reference synthesis,The book describes fourth-millennium settlement and later occupation at the mound.
Tell al-'Ubaid,Tell al-‘Ubaid|Tell al-'Ubaid|Tell al-Ubaid,Ubaid type site southern Iraq,archaeological settlement,-6500,-2500,c.,reference synthesis,
Herakleopolis,Herakleopolis|Heracleopolis,ancient Egyptian city Ihnasya,ancient city,-2500,700,c.,reference synthesis,
Hefat (El-Mo'alla),Hefat|El-Mo’alla|El-Mo'alla,ancient Egyptian town El Moalla,ancient town,-2200,-1900,c.,book plus reference synthesis,Ancient Hefat is conventionally associated with El-Mo'alla; the identification is not entirely certain.
Hor-mer,Hor-mer,ancient Egyptian town Upper Egypt,ancient town,-2181,-2055,First Intermediate Period,book evidence,The quoted inscription names the town but its recoverable coordinates remain unresolved.
Dholavira,Dholavira,Harappan archaeological city Gujarat India,ancient city,-3000,-1500,c.,reference synthesis,The book identifies Dholavira as a town and separately discusses its surviving street sign.
